first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,city,first_initial
Adriana,Conradi,1983-03-15,1983,F,19189,ehering@web.de,+49(0)4814754337,Adolf-Kade-Platz 6/2,Bischofswerda,A
Arnfried,Roht,1956-01-25,1956,M,70792,wwieloch@googlemail.com,08744 126618,Kohlallee 3,Bützow,A
Klaus,Dieter Heuser,1936-01-17,1936,M,83538,ggutknecht@googlemail.com,0293405827,Etzoldplatz 922,Warendorf,K
Abdul,Staude,1965-05-25,1965,M,94816,wielochjohann@gmx.de,+49(0)3496 05737,Jäntschgasse 764,Teterow,A
Hans-wilhelm,Schottin,2002-12-07,2002,M,94938,nicolas44@web.de,+49(0)1893 58557,Kerstin-Putz-Weg 345,Augsburg,H
Alfredo,Stadelmann,1974-08-12,1974,M,28991,nelly93@gmail.com,+49 (0) 8328 865289,Peer-Bohnbach-Ring 0/9,Helmstedt,A
Ludger,Gumprich,2015-01-30,2015,M,99828,schwitalalfonso@gmail.com,+49 (0) 4097 595466,Kaspar-Anders-Ring 1,Fürstenwalde,L
Cläre,Jungfer,2008-02-15,2008,F,91869,gnaser@googlemail.com,+49 (0) 1771 882431,Hornigweg 6,Schlüchtern,C
Vitus,Steuer,2002-01-22,2002,M,65549,bienbertram@yahoo.de,0926604994,Gerolf-Gude-Weg 9/7,Nördlingen,V
Franz,Lübs,2015-09-15,2015,M,11367,jbarth@googlemail.com,0348588714,Friedhold-Finke-Straße 2/8,Hannoversch Münden,F
Ingolf,Reuter,1929-06-15,1929,M,59608,hans-williroemer@hotmail.de,03380057306,Linkering 99,Havelberg,I
Alban,Bärer Beng,1961-04-08,1961,M,24805,magaretebolnbach@hotmail.de,00480 06704,Monica-Scholtz-Straße 437,Eisenach,A
Cathleen,Lindau-seifert,1987-02-12,1987,F,89067,rustjasmina@googlemail.com,02618 85988,Robby-Cichorius-Ring 15,Grimma,C
Anne,Schleich,1938-06-26,1938,F,83140,norma85@web.de,+49(0)1048 959690,Christophplatz 555,Jülich,A
Almuth,Ehlert,1987-09-30,1987,F,62672,hans-jochen82@hotmail.de,0879649442,Ute-Textor-Allee 9,Grafenau,A
Denis,Förster-schleich,1991-09-23,1991,M,43516,sylwia78@aol.de,(05564) 664492,Gutestr. 06,Rothenburg ob der Tauber,D
Ernest,Kohl,1971-07-31,1971,M,00436,tomislav12@hotmail.de,+49 (0) 6991 324542,Birnbaumplatz 6/1,Schmölln,E
Bodo,Dietz,2003-12-19,2003,M,68587,johannben@gmail.com,+49(0)4225 90058,Metzallee 614,Paderborn,B
Norman,Junitz,1912-03-11,1912,M,91648,ackermannhedda@yahoo.de,03441 19455,Schweitzergasse 6/8,Wolfenbüttel,N
Egbert,Van Der Dussen,1940-05-26,1940,M,40396,sabinasalz@aol.de,0803215181,Romy-Mentzel-Gasse 66,Wismar,E
Lieschen,Kallert,1923-11-30,1923,F,21464,adeline57@gmx.de,08994 418980,Martinstr. 803,Freising,L
Ben,Kuhl,1936-03-28,1936,M,42486,bberger@aol.de,(02471) 813571,Adele-Staude-Straße 4/4,Lüdenscheid,B
Alfons,Pohl,1934-08-28,1934,M,32310,robinwilmsen@yahoo.de,+49(0)4832 09946,Schülerplatz 28,Niesky,A
Magarete,Junck,1935-10-10,1935,F,42292,rigo66@gmail.com,0487463661,Jäntschweg 010,Neuruppin,M
Erdogan,Hertrampf-gotthard,1979-12-24,1979,M,58803,cgehringer@web.de,03902 55203,Gerlind-Täsche-Platz 456,Berchtesgaden,E
Freddy,Striebitz-schomber,1952-02-20,1952,M,18597,maelzeryvonne@gmx.de,+49(0)4867 983183,Schinkeallee 4,Hannoversch Münden,F
Hans-gerd,Dippel Beng,2008-03-28,2008,M,73700,kitzmannmilena@hotmail.de,01951 345863,Weißstr. 5,Mellrichstadt,H
Clarissa,Linke,2014-06-28,2014,F,55988,etzlerregina@aol.de,+49(0)1497857630,Kuschallee 4/9,Pegnitz,C
Heini,Gorlitz,1963-09-01,1963,M,96369,ivonne53@aol.de,04077 920617,Gertraut-Hertrampf-Platz 9/3,Hildburghausen,H
Zita,Reuter,1928-08-16,1928,F,00532,eberhardt49@web.de,+49(0)0675527274,Oestrovskyweg 1,Steinfurt,Z
Albina,Hartmann-mitschke,1961-08-04,1961,F,47438,margarethe80@web.de,(06807) 588812,Etzoldgasse 198,Ilmenau,A
Traudl,Reising,1955-11-12,1955,F,82560,nikolaussteinberg@hotmail.de,(04881) 80826,Kramerallee 91,Schwerin,T
Jenny,Eberhardt,1969-02-03,1969,F,64942,mitschkepia@googlemail.com,+49 (0) 4438 839511,Junkstraße 6,Höxter,J
Patrick,Zahn-hesse,1989-03-25,1989,M,90228,sven99@yahoo.de,0408983156,Miesstraße 111,Wanzleben,P
Leonid,Höfig-mies,1934-07-29,1934,M,20071,tkoehler@gmail.com,03144 24007,Heinrich-Stumpf-Gasse 0/7,Ludwigsburg,L
Laura,Wagner,1943-05-22,1943,F,93485,qgrein-groth@web.de,03254383491,Claus-Seifert-Platz 0/9,Iserlohn,L
Tillmann,Linke,1962-12-03,1962,M,17208,theodoratrupp@aol.de,08247 484035,Meike-Reinhardt-Allee 6/0,Melle,T
Adrian,Gutknecht,1941-07-07,1941,M,21842,franzdoehn@gmx.de,+49(0) 690313079,Scheelring 9,Großenhain,A
Recep,Adolph,1969-05-15,1969,M,07659,friedo34@gmail.com,0975273683,Nikola-Mohaupt-Gasse 8/2,Peine,R
Centa,Gunpf,1951-08-11,1951,F,29090,eduard73@web.de,+49(0)1253 528518,Ottoplatz 0,Peine,C
Salih,Walter,1927-05-17,1927,M,63408,textorhassan@aol.de,+49(0) 621120666,Lilly-Lehmann-Weg 9/2,Freital,S
Evamaria,Schweitzer-dehmel,1915-04-13,1915,F,91295,xstahr@aol.de,+49(0)6923 539016,Seipgasse 292,Neustadtner Waldnaab,E
Anke,Hendriks Beng,1948-05-23,1948,F,52489,ryszard16@web.de,+49(0)3119 73070,Rosemarie-Dörschner-Straße 8/9,Badalzungen,A
Cord,Noack,1973-04-28,1973,M,52192,wieklydia@yahoo.de,+49(0)6753 18869,Wähnerring 9/0,Ingolstadt,C
Gotthard,Franke,1959-04-01,1959,M,21699,mareenbolnbach@googlemail.com,+49(0) 130462452,Hertrampfweg 35,Kleve,G
Ralf-dieter,Hesse,1935-03-01,1935,M,71952,louiseseip@googlemail.com,01860240876,Friedericke-Textor-Allee 08,Schweinfurt,R
Sophia,Zimmer,1961-01-06,1961,F,86556,hildegard11@yahoo.de,08988 96762,Sonja-Staude-Gasse 048,Rottweil,S
Slawomir,Müller,1917-06-22,1917,M,01922,ischlosser@googlemail.com,(01976) 851484,Junckweg 4,Leipziger Land,S
Reimar,Putz-stadelmann,2012-05-31,2012,M,99485,klotzchristiana@googlemail.com,07312 372206,Hofmanngasse 3,Aurich,R
Elmar,Wirth,1983-01-23,1983,M,28007,frauke00@gmx.de,(09451) 71422,Dörschnergasse 41,Nordhausen,E
Cengiz,Kallert,1922-03-21,1922,M,38743,anneliesestiffel@gmx.de,(08105) 986909,Södingstr. 424,Wanzleben,C
Günther,Trupp,1976-10-11,1976,M,67437,fridabenthin@hotmail.de,(06970) 66184,Trudel-Dietz-Straße 5,Strasburg,G
Sigrun,Walter,1935-06-05,1935,F,35778,gierschneruwe@hotmail.de,+49(0)3603 26539,Kranzallee 2/2,Schwarzenberg,S
Hermann,Josef Riehl,2011-12-05,2011,M,15976,reinhardtfriedrich@gmx.de,+49(0)3807 256648,Bruni-Schomber-Allee 5,Klötze,H
Gerhart,Müller,1950-06-02,1950,M,91010,vweller@web.de,+49 (0) 8858 397329,Kabusallee 22,Ribnitz-Damgarten,G
