first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,first_initial
Frau,B.Sc.,1983-03-15,1983,F,91189,eherign@web.de,+49(0)4814754337,,F
Annelies,Schaaf,1986-03-14,1986,F,57579,liamitschke@aol.de,00792 787441,Mälzerallee 817,A
Saban,B.Eng.,1944-08-05,1944,M,63163,leon71@hotmail.de,,,S
Dr.,Biggen,1930-03-02,1930,M,44669,,+49(0)8164 34960,Heintzeallee 2/6,D
Adleheid,,2017-11-04,2017,F,10571,bsorgatz@yahoo.de,+49 (0) 9554 495949,Briemerstr. 58,A
Ing.,Hethur,1956-11-20,1956,F,09593,john79@gmail.com,+49 (0) 7728 991283,Junkenplatz 0/5,I
Vittorio,Koch,1942-07-02,1942,M,59562,wstey@web.de,+49(0)0339 982824,Klotzstr. 4,V
Hanspeter,B.Eng.,1983-07-16,1983,M,33742,ursgeisler@aol.de,09687997787,Inka-Steuer-Weg 9/2,H
Raisa,Möchlichen,2020-02-18,2020,F,11329,gpruschke@hotmail.de,02643402591,Maja-Stiebitz-Ring 5/5,R
Knut,Lübs-Trüb,1976-09-24,1976,M,34226,rheser@hotmail.de,+49 (0) 0398 583670,Irma-Trupp-Gasse 367,K
Reinhardt,BA..,2015-09-26,2015,M,74521,doorthe24@yahoo.de,03731 428426,Bruni-Preiß-Platz 59,R
Mariola,B.Eng.,1949-04-24,1949,F,79366,bschaefer@aol.de,+49(0) 066162291,Karen-Werner-Platz 860,M
Elwira,Steuer,1931-07-03,1931,F,48045,lmielcarek@gmx.de,(09320) 49706,Seifertring 1,E
Sarina,Rsut,1926-08-17,1926,F,59741,junckherlinde@hotmail.de,+49(0)9790 509931,Sonia-Ruppersberger-Gasse 8,S
Francoise,B.Sc.,1956-12-24,1956,F,56510,nchristoph@aol.de,+49 (0) 2752 104920,Scheuermanngasse 5/0,F
Utz,B.A.,1943-06-08,1943,M,22997,francisco49@gmx.de,+49(0)4650508039,Willibert-Stiebitz-Straße 5,U
Hrema,MBA.,1936-11-26,1936,F,06979,ulfrosenow@gmx.de,(02364) 56943,Johannweg 284,H
Hansjoachim,Mnede,1982-11-12,1982,M,70399,petar42@hotmail.de,06129 011221,Döhnstr. 132,H
Dipl.-Ing.,Schmidtke,1992-05-19,1992,F,05859,jerzy22@gmx.de,07161468152,Nergergasse 0/6,D
Luis,Hartnug,1992-10-21,1992,M,55670,gertraude11@web.de,06853 334068,Albersring 0/9,L
iLlli,Schleich,1923-05-28,1923,F,11703,jannadietz@gmx.de,0635950068,Spießplatz 9/7,L
Prof.,Rpupersberger,1984-08-11,1984,F,75781,joergen18@hotmail.de,,Magda-Heydrich-Allee 98,P
Ortrud,iSering,1920-01-16,1920,F,57179,paffrathwiltrud@yahoo.de,+49(0)7764 416308,Aleksandra-Heser-Straße 3,O
Hellmut,Rädel,1980-09-06,1980,M,20994,wesackladislaus@gmx.de,0573228672,Frederik-Nohlmans-Straße 5,H
Ercan,Häring,1943-09-13,1943,M,46366,constanzeetzler@googlemail.com,+49(0)1549 001017,Jens-Uwe-Gotthard-Gasse 159,E
Grit,Jähn,1931-09-06,1931,F,30231,eckbauermustafa@gmx.de,+49(0)5651 44562,Isidor-Hering-Weg 921,G
Pauline,MBA.,1980-11-23,1980,F,67944,johannedrubin@yahoo.de,+49(0)4651 475417,auch Schlauchinweg 7,P
Oda,Graf,1967-11-24,1967,F,08494,jochenkaul@hotmail.de,08675326047,Ruppertstr. 8,O
Kerstin,Klotz-Pärtzelt,1927-01-06,1927,F,66849,yheinz@aol.de,,Rahel-Höfig-Platz 4/2,K
,Sölzer,1992-12-31,1992,F,40779,msegebahn@googlemail.com,+49 (0) 0617 214369,Junitzgasse 23,R
Prof.,Stadelmann,1976-05-21,1976,F,52727,langeminna@web.de,+49(0)5857 41740,Pieperstraße 0,P
Kreszenz,Hesse-Weihmann,1958-07-12,1958,,26521,dreuter@googlemail.com,01198 87572,Kenan-Heser-Platz 22,K
Kordula,,1980-09-11,1980,F,82634,monika88@aol.de,0291793716,Rustallee 12,K
Hedda,Stahr-Käster,1924-12-22,1924,F,75646,eleonorekarz@aol.de,+49(0)5442200900,Neuschäferplatz 5,H
Herr,Beer,2004-03-14,2004,M,15849,dwilmsen@aol.de,+49(0)7184 14258,Bolzmanngasse 788,H
Agatha,Beyer-Eebrt,1938-08-28,1938,F,70776,ethies@gmail.ocm,03923591245,Preißring 6,A
Carmela,Huhn,1918-10-20,1918,F,01360,,(05526) 891415,Chantal-Jockel-Ring 33,C
Dipl.I-ng.,Köster,2020-02-26,2020,M,88660,groettnerpatric@gmx.de,+49(0) 780039636,Bruno-Weinhold-Gasse 8,D
Corina,äRdel,1973-07-17,1973,F,87944,hartmannfelizitas@aol.de,(09934) 590164,,C
Dr.,B.Eng.,1910-12-28,1910,M,57168,roypatberg@gmail.com,,Jäntschweg 73,D
Robby,eFchner,1958-10-23,1958,M,85188,patrickhartmann@web.de,+49 (0) 5828 407899,Walterallee 460,R
Leonore,Jäckel,1980-06-19,1980,F,62112,gabrielajsesel@aol.de,+49(0)6666368792,Luisa-Heser-Ring 000,L
Hans-Rudolf,Tintzmann,1936-07-29,1936,M,39016,ernst69@gmail.com,(03500) 29277,Immo-Patberg-Ring 4,H
Ingeborg,Hörle,1915-02-01,1915,F,24894,kreuselivana@gmx.de,+49(0) 119730707,Urs-Spieß-Weg 8/9,I
Andre,Steckle,2018-09-21,2018,M,80521,abriemer@yahoo.de,(02467) 531886,Wähnerring 9/0,A
Hakna,Stiebitz,2005-03-12,2005,M,52821,doeringbastian@web.de,,Lindnerplatz 5,H
Angelika,Kruas,1993-03-23,1993,F,93994,ian98@googlemail.com,02632 719525,Thiesallee 240,A
Dipl.-Ing.,B.Sc.,1914-09-08,1914,M,95116,alena07y@ahoo.de,06865 56889,Tarppstraße 71,D
Bernadette,Berger,1989-03-14,1989,F,88853,ramonoherle@aol.de,09860 301922,Stiffleallee 8/5,B
Fridolin,Rohleder,1981-12-29,1981,M,85005,bgunpf@gmail.com,(07499) 485773,Hermann Josef-Mude-Platz 06,F
Nuray,Winkler-Löwer,2023-09-19,2023,F,02594,dsalz@web.de,(00058) 12800,Karzgasse 1/4,N
Cathrin,Förster,1919-08-15,1919,F,10928,lisbeth63@hotmail.de,03384 12387,Dajana-Pergande-Gasse 598,C
Steve,B.Sc.,1988-04-14,1988,M,72154,edward83@googlemail.com,+49(0)4395308792,Wulffring 76,S
Univ.Prof.,MBA.,1930-03-24,1930,F,43460,putzryszard@web.de,0370278303,Thiesweg 8/4,U
