first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,city,first_initial
Adriana,Conradi,1983-03-15,1983,F,91189,ehering@web.de,+49(0)4814754337,dAolf-Kade-Platz 6/2,Bischofswerda,A
Arnfried,Roht,1956-01-25,1956,M,70792,wwieloch@googlemail.com,08744 126618,Kohlalle e3,Bützow,A
Klaus,Dieter Heuser,1936-01-17,1936,M,83538,ggutknecht@googlemail.com,0293405827,Etzoldplatz 922,Warenodrf,K
Abdul,Stuade,1965-05-25,1965,,94816,wielochjohann@gmx.de,+49(0)3496 05737,Jäntscghasse 764,Teterow,A
Hans-wilhelm,Schottin,2002-12-07,2002,M,94938,nicolas44@web.de,+49(0)1893 58557,Kerstin-Putz-Weg 345,Augsburg,H
Alfredo,Stadelmann,1974-08-12,1974,M,28991,nelly93@gmail.com,+49 (0) 8328 865289,Peer-Bohnbach-Ring 0/9,Helmstedt,A
Luitgard,Gumprich,2015-01-30,2015,F,99828,schwitalalfonso@gmail.com,+49 (0) 4097 595466,Kaspar-Anders-Ring 1,Fürstenwalde,L
Ditmar,Jungfer,2008-02-15,2008,M,91869,gnaser@googlemail.com,,Hornigweg 6,Schlüchtern,D
,Steuer,2002-01-22,2002,M,65549,bienbertram@yahoo.de,0926604994,Gerolf-Gude-Weg 9/7,Nördlingen,V
Elzbieta,Lübs,2015-09-15,2015,F,11367,jbarth@googlemail.com,0348588714,Friedhold-Finke-Straße 2/8,Hannoversch Münden,E
Janna,Reuter,1929-06-15,1929,F,59608,hans-williroemer@hotmail.de,,Linkering 99,Havelberg,J
Albna,Bärer Beng,1961-04-08,1961,M,24805,magaretebolnbach@hotmail.de,00480 06704,Monica-Scholtz-Straße 437,Eisenach,A
Cathleen,Lindau-seifert,1987-02-12,1987,F,89067,rustjasmina@googlemail.com,,Robby-Cichorius-Ring 15,Grimma,C
Anton,Schleich,1938-06-26,1938,M,83140,norma85@web.de,+49(0)1048 959690,Christophplatz 555,Jülich,A
Alexandros,Ehlert,1987-09-30,1987,M,62672,hans-jochen82@hotmail.de,0879649442,Ute-Textor-Allee 9,Grafenau,A
Cahrlotte,Förster-schleich,1991-09-23,1991,F,43516,sylwia78@aol.de,(05564) 664492,Gutestr. 06,Rothenburg ob der Tauber,C
Edeltrud,Kohl,1971-07-31,1971,F,00436,tomislav12@hotmail.de,,Birnbaumplazt 6/1,Schmölln,E
Bodo,Dietz,2003-12-19,2003,M,68578,johannben@gmail.com,+49(0)4225 90058,Metzallee 614,Paderborn,B
Norman,Junitz,1912-03-11,1912,M,91648,ackermannhedda@yahoo.de,03441 19455,Schweitzergasse 6/8,Wolfenbüttel,N
Deborah,Van Der Dussen,1940-05-26,1940,F,40396,sabinasalz@aol.de,0803215181,Romy-Mentzel-Gasse 66,Wismar,D
Lieschen,Kallert,1923-11-30,1923,F,21464,adeline57@gmx.de,08994 418980,Martinstr. 803,Freising,L
Apollonia,Kuhl,1936-03-28,1936,F,42486,bberger@aol.de,(02471) 815371,Adele-Staude-Straße 4/4,Lüdenscheid,A
Alfons,Pohl,1934-08-28,1934,M,32310,robinwilmsen@yahoo.de,+49(0)4832 09946,Schülerplatz 28,Niesky,A
Mahmoud,Junck,1935-10-10,1935,M,42292,rigo66@gmail.com,0487463661,Jäntschweg 010,Neuruppin,M
Erdoagn,Hertrampf-gotthard,1979-12-24,1979,M,58803,cgehringer@web.de,03902 55203,Gerlind-Täsche-Platz 456,Berchtesgaden,E
Emmy,Striebitz-schomber,1952-02-20,1952,F,18597,maelzeryvonne@gmx.de,+49(0)4867 983183,Schinkeallee 4,,E
Hans-gerd,Dippel Beng,2008-03-28,2008,M,73700,kitzmannmilena@hotmail.de,01951 345863,Weißstr. 5,Mellrichstadt,H
Dino,Linke,2014-06-28,2014,M,55988,etzlerregina@aol.de,+49(0)1497857630,Kuschallee 4/9,Pegnitz,D
Henii,Gorlitz,1963-09-01,1963,M,96369,ivonne53@aol.de,04077 920617,Gertraut-Hertrampf-Platz 9/3,Hildburghausen,H
Juir,Häring,1965-02-14,1965,M,55272,henning20@aol.de,04585 741740,Piepertsraße 0,Rathenow,J
Pavel,Scholl-heinz,1958-07-12,1958,M,26521,dreuter@googlemali.com,01198 87572,Kenan-Heser-Platz 22,Querfurt,P
Iwan,Löwer,1980-09-11,1980,M,82634,monika88@aol.de,0291793716,Rustallee 12,Königs Wutserhausen,I
Eberhardt,Kranz,1924-12-22,1924,M,75646,eleonorekarz@aol.de,+49(0)5442200900,Neuschäferplatz 5,Burgdorf,E
Sigmund,Beer,2004-03-14,2004,M,15849,dwilmsen@aol.de,+49(0)7184 14258,Bolzmanngasse 788,Anklam,S
Betty,Werner,1938-08-28,1938,F,70776,ethies@gmail.com,03923591245,Preißring 6,Duderstadt,B
Karsten,Roskoth-hölzenbecher,2020-09-11,2020,M,01360,winklerswantje@yahoo.de,(05526) 891415,Chantal-Jockel-Ring 33,Miltenberg,K
Reinhard,Kusch,2020-02-26,2020,,88660,,+49(0) 780039636,Bruno-Weinhold-Gasse 8,Erkelenz,R
Liliane,Liebelt,2015-02-16,2015,F,99394,tscheel@web.de,09016464914,Maritta-Reising-Straße 84,Hohenmölsen,L
Muzaffer,Junitz-fechner,1972-11-20,1972,M,68268,albrechtfoerster@gmx.de,+49(0)2362 050764,Henschelweg 285,Wolfach,M
Birgitta,Johann,1926-08-31,1926,F,07899,silviakaester@hotmail.de,05046049482,Alexei-Dippel-Weg 436,Recklinghausen,B
Mary,Häring,2010-05-14,2010,F,92234,lillylehmann@hotmail.de,+49(0)1000 92641,Hertrampfplatz 813,Strasburg,M
Ingelore,Krause,1911-03-04,1911,F,92776,mehmetseip@aol.de,+49(0)3855417481,Slavko-Gnatz-Ring 8,Ludwigslust,I
Torsten,Dussen Van,2001-11-27,2001,M,07078,roserosalinde@googlemail.com,+49(0)1799689302,Ditschlerinring 2,Jülich,T
Ivanka,Warmer-schäfer,1966-06-20,1966,F,45790,jacek18@hotmail.de,+49(0) 570520228,Branko-Seip-Straße 7/9,Soest,I
Ayten,Bien,1958-06-04,1958,F,06433,zgertz@gmx.de,(05965) 24881,Inga-Schaaf-Allee 7,Regen,A
,Schacht,1951-03-25,1951,M,87639,bthies@gmail.com,+49(0)9308 698207,Dehmelgasse 9/5,Hammelburg,Z
Alida,Nerger,2000-09-08,2000,F,10483,cfritsch@aol.de,(05274) 942531,Ladislaus-öFrster-Weg 64,Rothenburg ob der Tauber,A
Kathy,Spieß-plath,2010-02-12,2010,F,47648,olaf45@web.de,(06286) 84987,,Amberg,K
Gretchen,uRppersberger,1922-09-13,1922,F,33126,roehrichtkarl-josef@gmail.com,0359989567,Ackermannplatz 9,Spremberg,G
Samir,Bauer,1978-02-04,1978,M,41077,boucseinmarga@web.de,02591 042965,Heringstr. 310,Tecklenburg,S
Raik,Vollbrecht,1918-06-11,1918,M,24757,oswaldsoeding@hotmail.de,05475890418,Sagerplatz 2/1,Gransee,R
Felicia,Grien Groth,1966-09-08,1966,F,58960,claire02@aol.de,(07389) 690862,Henschelring 0/6,,F
Cilli,Mielcarek,1963-07-30,1963,F,25917,constanze56@yahoo.de,06814 41730,Mühlestr. 1/9,Artern,C
Kathi,Fechner,1963-07-07,1963,F,77020,philipprosemann@yahoo.de,+49(0) 946913711,Regina-Lindau-Weg 799,Worbis,K
Friedhold,Schönland-dwoerg,2006-10-12,2006,M,78850,gretchenbauer@hotmail.de,+49(0) 295063475,Klemmgasse 8/6,Pfaffenhofen an der Ilm,F
Raymond,Wirth,1963-07-29,1963,M,67298,veronikareuter@web.de,+49(0)1544271780,Beata-Schwital-Weg 8/3,Anklam,R
Slavica,Reinhardt,1967-10-24,1967,F,74699,radolph@gmx.de,03324889321,Laura-Kühnert-Gasse 297,Helmstedt,S
Dorina,Schäfer,1925-06-07,1925,F,54417,xjunck@gmx.de,06342565201,Dolores-Bolnbach-Weg 4/0,Sigmaringen,D
Erol,Reichmann,1949-03-05,1949,M,78994,freia53@aol.de,02718 648047,Neuschäfergasse 0/9,Soest,E
Jolanta,Lindner,2006-06-26,2006,F,55856,sibyllagroettner@yahoo.de,+49(0)9854 811194,Marco-Tlustek-Gasse 171,Lübeck,J
Horst-günter,Franke,1928-09-18,1928,M,27211,ingmarmeyer@gmx.de,08429082372,Schinkeweg 5/9,Kelheim,H
Hanny,Junk-etzold,2014-06-19,2014,F,83051,ullrich76@gmx.de,+49 (0) 0114 221021,Recep-Gerlach-Weg 95,eFuchtwangen,H
Sebastiano,,1935-09-30,1935,M,77213,hans-gerd80@hotmail.de,,Johannallee 50,Lobenstein,S
Nils,Birnbaum Beng,1920-06-17,1920,M,13592,,09603080626,,Monschau,N
Gusti,Lange,2012-10-09,2012,F,27736,bdoering@yahoo.de,+49 (0) 9319 832867,Isabella-Girschner-Straße 222,Plauen,G
Zeynep,Hornich-gröttner,1913-01-07,1913,F,21699,vmude@aol.de,+49(0)8501 076008,Brian-Trubin-Weg 502,Pfaffenhofen an der Ilm,Z
Stilla,Trommler,1915-09-29,1915,F,26201,afaust@web.de,(01229) 935030,Nadeschda-Reinhardt-Allee 2/3,Bayreuth,S
Käthe,Holt-ackermann,1960-07-21,1960,F,84485,mtrubin@yahoo.de,+49(0) 180767713,Fliegnerplatz 5,Kronach,K
Siegried,,1936-06-25,1936,F,64743,roman47@web.de,+49(0)9973 18186,Halina-Textor-Platz 124,Hohenstein-Ernstthal,S
Moritz,Häring,2007-01-06,2007,M,27127,sigurd10@hotmail.de,01557 90117,Geislergasse 89,Calau,M
Zehra,Hertrampf,1971-12-18,1971,F,00321,seideltatjana@gmail.com,,Karolina-Hiller-Platz 117,Uffenheim,Z
